2025-04-03 14:05:55,591 [INFO] Loading Training dataset...
2025-04-03 14:05:55,592 [INFO] Training dataset size: 2152
2025-04-03 14:05:55,592 [INFO] Loading Validation dataset...
2025-04-03 14:05:55,592 [INFO] Validation dataset size: 1341
2025-04-03 14:05:55,592 [INFO] Loading Test dataset...
2025-04-03 14:05:55,593 [INFO] Test dataset size: 1337
2025-04-03 14:05:56,452 [INFO] Start training...
2025-04-03 14:06:04,599 [INFO] Epoch 1, Loss: 0.8496631147230372, Accuracy: 71.61%, F1 Score: 0.72, Validation Loss: 1.7502270255770003, Validation Accuracy: 70.62%, Validation F1 Score: 0.69
2025-04-03 14:06:12,679 [INFO] Epoch 2, Loss: 0.3154939426218762, Accuracy: 90.66%, F1 Score: 0.91, Validation Loss: 0.7876877358981541, Validation Accuracy: 80.84%, Validation F1 Score: 0.80
2025-04-03 14:06:20,791 [INFO] Epoch 3, Loss: 0.2033743441981428, Accuracy: 94.28%, F1 Score: 0.94, Validation Loss: 0.6501223075957525, Validation Accuracy: 78.67%, Validation F1 Score: 0.78
2025-04-03 14:06:28,989 [INFO] Epoch 4, Loss: 0.14142565188162468, Accuracy: 96.79%, F1 Score: 0.97, Validation Loss: 0.9605200574511573, Validation Accuracy: 67.56%, Validation F1 Score: 0.67
2025-04-03 14:06:37,112 [INFO] Epoch 5, Loss: 0.08558017990606673, Accuracy: 98.75%, F1 Score: 0.99, Validation Loss: 0.7784616209211803, Validation Accuracy: 75.02%, Validation F1 Score: 0.76
2025-04-03 14:06:45,257 [INFO] Epoch 6, Loss: 0.043378583867760265, Accuracy: 99.81%, F1 Score: 1.00, Validation Loss: 0.5439159281197048, Validation Accuracy: 83.15%, Validation F1 Score: 0.83
2025-04-03 14:06:53,410 [INFO] Epoch 7, Loss: 0.0604578888262896, Accuracy: 98.75%, F1 Score: 0.99, Validation Loss: 0.9391634237198603, Validation Accuracy: 71.74%, Validation F1 Score: 0.69
2025-04-03 14:07:02,393 [INFO] Epoch 8, Loss: 0.03990879832931301, Accuracy: 99.63%, F1 Score: 1.00, Validation Loss: 0.6213140984376272, Validation Accuracy: 81.36%, Validation F1 Score: 0.81
2025-04-03 14:07:10,977 [INFO] Epoch 9, Loss: 0.01808901961125872, Accuracy: 100.00%, F1 Score: 1.00, Validation Loss: 0.6533783943880171, Validation Accuracy: 79.19%, Validation F1 Score: 0.79
2025-04-03 14:07:21,082 [INFO] Epoch 10, Loss: 0.012910359155605821, Accuracy: 100.00%, F1 Score: 1.00, Validation Loss: 0.5379444786480495, Validation Accuracy: 83.82%, Validation F1 Score: 0.84
2025-04-03 14:07:55,820 [INFO] Epoch 11, Loss: 0.00937799084931612, Accuracy: 100.00%, F1 Score: 1.00, Validation Loss: 0.5492963265805018, Validation Accuracy: 83.59%, Validation F1 Score: 0.84
